"Category","Users"
"2026-02-01 10:47",15
"2026-02-01 10:52",13
"2026-02-01 10:57",14
"2026-02-01 11:02",14
"2026-02-01 11:07",14
"2026-02-01 11:12",17
"2026-02-01 11:17",17
"2026-02-01 11:22",19
"2026-02-01 11:27",19
"2026-02-01 11:32",19
"2026-02-01 11:37",19
"2026-02-01 11:42",18
"2026-02-01 11:47",14
"2026-02-01 11:52",14
"2026-02-01 11:57",15
"2026-02-01 12:02",17
"2026-02-01 12:07",18
"2026-02-01 12:12",17
"2026-02-01 12:17",19
"2026-02-01 12:22",19
"2026-02-01 12:27",19
"2026-02-01 12:32",19
"2026-02-01 12:37",19
"2026-02-01 12:42",17
"2026-02-01 12:47",15
"2026-02-01 12:52",16
"2026-02-01 12:57",15
"2026-02-01 13:02",14
"2026-02-01 13:07",14
"2026-02-01 13:12",13
"2026-02-01 13:17",14
"2026-02-01 13:22",16
"2026-02-01 13:27",17
"2026-02-01 13:32",16
"2026-02-01 13:37",17
"2026-02-01 13:42",18
"2026-02-01 13:47",18
"2026-02-01 13:52",17
"2026-02-01 13:57",18
"2026-02-01 14:02",19
"2026-02-01 14:07",18
"2026-02-01 14:12",17
"2026-02-01 14:17",18
"2026-02-01 14:22",20
"2026-02-01 14:27",16
"2026-02-01 14:32",17
"2026-02-01 14:37",17
"2026-02-01 14:42",15
"2026-02-01 14:47",17
"2026-02-01 14:52",18
"2026-02-01 14:57",16
"2026-02-01 15:02",16
"2026-02-01 15:07",16
"2026-02-01 15:12",14
"2026-02-01 15:17",17
"2026-02-01 15:22",17
"2026-02-01 15:27",20
"2026-02-01 15:32",21
"2026-02-01 15:37",22
"2026-02-01 15:42",22
"2026-02-01 15:47",22
"2026-02-01 15:52",23
"2026-02-01 15:57",23
"2026-02-01 16:02",24
"2026-02-01 16:07",23
"2026-02-01 16:12",20
"2026-02-01 16:17",19
"2026-02-01 16:22",19
"2026-02-01 16:27",16
"2026-02-01 16:32",15
"2026-02-01 16:37",13
"2026-02-01 16:42",15
"2026-02-01 16:47",15
"2026-02-01 16:52",15
"2026-02-01 16:57",15
"2026-02-01 17:02",15
"2026-02-01 17:07",17
"2026-02-01 17:12",16
"2026-02-01 17:17",16
"2026-02-01 17:22",16
"2026-02-01 17:27",16
"2026-02-01 17:32",17
"2026-02-01 17:37",16
"2026-02-01 17:42",15
"2026-02-01 17:47",15
"2026-02-01 17:52",14
"2026-02-01 17:57",16
"2026-02-01 18:02",19
"2026-02-01 18:07",18
"2026-02-01 18:12",17
"2026-02-01 18:17",16
"2026-02-01 18:22",14
"2026-02-01 18:27",14
"2026-02-01 18:32",16
"2026-02-01 18:37",16
"2026-02-01 18:42",16
"2026-02-01 18:47",13
"2026-02-01 18:52",16
"2026-02-01 18:57",16
"2026-02-01 19:02",20
"2026-02-01 19:07",18
"2026-02-01 19:12",18
"2026-02-01 19:17",17
"2026-02-01 19:22",18
"2026-02-01 19:27",20
"2026-02-01 19:32",20
"2026-02-01 19:37",21
"2026-02-01 19:42",20
"2026-02-01 19:47",19
"2026-02-01 19:52",19
"2026-02-01 19:57",18
"2026-02-01 20:02",21
"2026-02-01 20:07",18
"2026-02-01 20:12",17
"2026-02-01 20:17",17
"2026-02-01 20:22",17
"2026-02-01 20:27",19
